BRESIL,CAMEROUN,A
BRESIL,CROATIE,A
BRESIL,MEXIQUE,A
CAMEROUN,CROATIE,A
CAMEROUN,MEXIQUE,A
CROATIE,MEXIQUE,A
AUSTRALIE,CHILI,B
AUSTRALIE,ESPAGNE,B
AUSTRALIE,PAYS-BAS,B
CHILI,ESPAGNE,B
CHILI,PAYS-BAS,B
ESPAGNE,PAYS-BAS,B
COLOMBIE,MAROC,C
COLOMBIE,GRECE,C
COLOMBIE,JAPON,C
MAROC,GRECE,C
MAROC,JAPON,C
GRECE,JAPON,C
ANGLETERRE,SENEGAL,D
ANGLETERRE,ITALIE,D
ANGLETERRE,URUGUAY,D
SENEGAL,ITALIE,D
SENEGAL,URUGUAY,D
ITALIE,URUGUAY,D
EQUATEUR,FRANCE,E
EQUATEUR,HONDURAS,E
EQUATEUR,SUISSE,E
FRANCE,HONDURAS,E
FRANCE,SUISSE,E
HONDURAS,SUISSE,E
ARGENTINE,BOSNIE,F
ARGENTINE,IRAN,F
ARGENTINE,NIGERIA,F
BOSNIE,IRAN,F
BOSNIE,NIGERIA,F
IRAN,NIGERIA,F
ALLEMAGNE,ETATS-UNIS,G
ALLEMAGNE,GHANA,G
ALLEMAGNE,PORTUGAL,G
ETATS-UNIS,GHANA,G
ETATS-UNIS,PORTUGAL,G
GHANA,PORTUGAL,G
ALGERIE,BELGIQUE,H
ALGERIE,COREE DU SUD,H
ALGERIE,RUSSIE,H
BELGIQUE,COREE DU SUD,H
BELGIQUE,RUSSIE,H
COREE DU SUD,RUSSIE,H
