titre,editeur,annee,isbn
Fondation et Empire,Editions Denoël,1999,978-2207249123
Akira,Glénat,2000,978-2723428262
Croisière sans escale,Editions Denoël,1990,978-2207500293
Astérix et Cléopâtre,Dargaud,1999,978-2012100060
Au carrefour des étoiles,J'ai Lu,1997,978-2277118473
Les Buddenbrook,LGF/Le Livre de Poche,1993,978-2253063193
Le Noir Dessein,Livre de poche,1998,978-2253062820
The Practice of Programming,Addison-Wesley Professional,1999,978-0201615869
Les Plus qu'humains,adsaa,1999,000-0000000162
Les Contes de Canterbury,Gallimard Education,2000,978-2070406340
The Art of Computer Programming,Addison-Wesley Professional,1997,978-0321635747
L'Aveuglement,Contemporary French Fiction,2000,978-2020403436
Le Domaine des dieux,French & European Publications,1992,978-0785909903
Cent ans de solitude,Contemporary French Fiction,1995,978-2020238113
Énéide,Belles Lettres,1993,978-2251013039
Middlemarch,Wordsworth Editions,1994,978-1853262371
Le Tambour,Contemporary French Fiction,1997,978-2020314305
L'Éducation sentimentale,FeniXX,1990,978-2402282697
